Symbol,Company,Sector,Industry,Exchange,Currency,Year_End,IPO,YearsActive,Price,Shares,ImpliedShares,MarketCap,P/S_TTM,P/S_2024,P/E_TTM,P/E_2024,TTM_Revenue,TTM_NetIncome,Q_Rev%,2025_Revenue,2025_NetIncome,2025_EBITDA,2024_Revenue,2024_NetIncome,2024_EBITDA,2023_Revenue,2023_NetIncome,2023_EBITDA,2022_Revenue,2022_NetIncome,2022_EBITDA,2021_Revenue,2021_NetIncome,2021_EBITDA,2020_Revenue,2020_NetIncome,2020_EBITDA,3yrRev,2025_Rev%,2025_NetMargin,2024_Rev%,2024_NetMargin,2023_Rev%,2023_NetMargin,2022_Rev%,2022_NetMargin,2021_Rev%,2021_NetMargin,2020_Rev%,2020_NetMargin,2025_EBITDA%,2024_EBITDA%,2023_EBITDA%,2022_EBITDA%,2025_FCF,2025_FCF%,2024_FCF,2024_FCF%,2023_FCF,2023_FCF%,2022_FCF,2022_FCF%,2025_Interest_Expense,2025_Interest_Income,2025_NetInterest,2025_Interest/Rev,2024_Interest_Expense,2024_Interest_Income,2024_NetInterest,2024_Interest/Rev,2023_Interest_Expense,2023_Interest_Income,2023_NetInterest,2023_Interest/Rev,2022_Interest_Expense,2022_Interest_Income,2022_NetInterest,2022_Interest/Rev,2025_SG&A,2025_SG&A%,2024_SG&A,2024_SG&A%,2023_SG&A,2023_SG&A%,2022_SG&A,2022_SG&A%,2025_Assets,2025_Cash,2025_CurrentAssets,2025_Debt,2025_NetDebt,2025_Liabilities,2025_ND/A,2025_ND/Rev,2025_Cash/Rev,2025_Cash/Assets,2025_Debt/Assets,2025_Assets/Equity,2025_Liabilities/Equity,2025_Debt%,2024_Assets,2024_Cash,2024_CurrentAssets,2024_Debt,2024_NetDebt,2024_Liabilities,2024_ND/A,2024_ND/Rev,2024_Cash/Rev,2024_Cash/Assets,2024_Debt/Assets,2024_Assets/Equity,2024_Liabilities/Equity,2024_Debt%,2023_Assets,2023_Cash,2023_CurrentAssets,2023_Debt,2023_NetDebt,2023_Liabilities,2023_ND/A,2023_ND/Rev,2023_Cash/Rev,2023_Cash/Assets,2023_Debt/Assets,2023_Assets/Equity,2023_Liabilities/Equity,2023_Debt%,2022_Assets,2022_Cash,2022_CurrentAssets,2022_Debt,2022_NetDebt,2022_Liabilities,2022_ND/A,2022_ND/Rev,2022_Cash/Rev,2022_Cash/Assets,2022_Debt/Assets,2022_Assets/Equity,2022_Liabilities/Equity,2022_Debt%
AAUC,Allied Gold Corporation,Materials,Gold,NYSE,USD,,,,27.32,125881229,,3439,2.873,4.711,-78.1591,-29.6466,1197,-44,150.41,1332,-52,321,730,-116,40,656,-208,-131,670,-7,118,,,,,,,,82.47,-3.9,11.28,-15.89,-2.09,-31.71,,-1.04,,,,,24.1,5.48,-19.97,17.61,82,6.16,-83,-11.37,-74,-11.28,6,0.9,11,,11,0.83,-4,,-4,-0.55,8,,8,1.22,10,,10,1.49,121,9.08,63,8.63,64,9.76,47,7.01,2124,480,,170,,1619,,,0.3604,0.226,0.08,4.2059,3.2059,8.0,1320,225,,112,,904,,,0.3082,0.1705,0.0848,3.1731,2.1731,8.48,956,159,,113,,575,,,0.2424,0.1663,0.1182,2.5092,1.5092,11.82,659,45,,54,,548,,,0.0672,0.0683,0.0819,5.9369,4.9369,8.19
AB,AllianceBernstein Holding L.P.,Financials,Asset Management,NYSE,USD,12/31/24,4/14/88,38.1,37.93,110700000,110700002,4199,12.6476,9.0887,14.0435,9.9267,332,299,-23.01,333,300,,462,423,,299,264,,305,274,,416,385,,,279,,3.56,-27.92,90.09,54.52,91.56,-1.97,88.29,-26.68,89.84,,92.55,,,,,,,352,105.71,340,73.59,294,98.33,363,119.02,,,0,0.0,,,,,,,,,,,,,,,,,,,,,1240,,,,,2,,,,,,1.0016,0.0016,,2035,,,,,3,,,,,,1.0015,0.0015,,2078,,,,,1,,,,,,1.0005,0.0005,,2075,,,,,2,,,,,,1.001,0.001,
ABAT,American Battery Technology Company,Materials,Materials,NASDAQ,USD,6/30/24,2/24/16,10.2,3.23,131709245,92086331,425,47.2222,,-10.3659,-8.1731,9,-41,1342.42,4,-47,-42,0,-52,-50,0,-2220,-21,0,-33,-33,,,,,,,,,-1175.0,,,,,,,,,,,-1050.0,,,,-31,-775.0,-29,,-28,,-25,,0,,0,0.0,0,,0,,0,,0,,0,,,,21,525.0,16,,12,,3170,,84,7,,8,,14,,,1.75,0.0833,0.0952,1.2,0.2,9.52,78,7,18,7,-1,16,-0.0128,,,0.0897,0.0897,1.2581,0.2581,8.97,75,2,5,6,4,14,0.0533,,,0.0267,0.08,1.2295,0.2295,8.0,53,29,30,0,-29,3,-0.5472,,,0.5472,0.0,1.06,0.06,0.0
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturer - General,NYSE,USD,12/31/24,1/2/13,13.4,215.7,1768979968,1768979993,381569,6.2389,6.7733,90.2908,89.1933,61160,4226,10.04,61160,4226,17629,56334,4278,14910,54318,4863,17172,58054,11836,24174,56197,11542,,45804,4616,,0.08,8.57,6.91,3.71,7.59,-6.44,8.95,3.3,20.39,22.69,20.54,,10.08,28.82,26.47,31.61,41.64,17816,29.13,17832,31.65,22062,40.62,24248,41.77,2893,266,2627,4.3,2808,648,2160,3.83,2224,540,1684,3.1,2230,186,2044,3.52,14010,22.91,14752,26.19,12872,23.7,15260,26.29,133960,5229,,67496,,137188,,,0.0855,0.039,0.5039,-41.4994,-42.4994,50.39,135161,5524,25582,67144,61620,131797,0.4559,1.0938,0.0981,0.0409,0.4968,40.1787,39.1787,49.68,134711,12814,33002,59385,46571,124314,0.3457,0.8574,0.2359,0.0951,0.4408,12.9567,11.9567,44.08,138805,9201,28463,63271,54070,121518,0.3895,0.9314,0.1585,0.0663,0.4558,8.0294,7.0294,45.58
ABCB,Ameris Bancorp,Financials,Banks - Regional,NYSE,USD,12/31/24,5/19/94,32.0,84.69,68910896,68910895,5836,4.9753,5.2862,14.165,16.2563,1173,412,6.29,1174,412,,1104,359,,1042,269,,1048,346,,990,376,,726,262,,3.7,6.34,35.09,5.95,32.52,-0.57,25.82,5.86,33.02,36.36,37.98,,36.09,,,,,370,31.52,141,12.77,551,52.88,1049,100.1,458,1395,-937,-79.81,529,1378,-849,-76.9,445,1280,-835,-80.13,92,893,-801,-76.43,371,31.6,375,33.97,358,34.36,339,32.35,27516,1089,,692,,23440,,,0.9276,0.0396,0.0251,6.7507,5.7507,2.51,26262,1220,,424,-796,22511,-0.0303,-0.721,1.1051,0.0465,0.0161,7.0013,6.0013,1.61,25204,1167,,640,-527,21777,-0.0209,-0.5058,1.12,0.0463,0.0254,7.3545,6.3545,2.54,25053,1118,,2004,886,21856,0.0354,0.8454,1.0668,0.0446,0.08,7.8364,6.8364,8.0
ABCL,AbCellera Biologics Inc.,Healthcare,Biotech,NASDAQ,USD,12/31/24,12/11/20,5.5,5.2,303160487,298424007,1576,21.0133,56.2857,-10.7945,-9.7284,75,-146,788.12,75,-146,-174,28,-162,-204,38,-146,-192,485,158,260,375,153,,233,118,,-57.89,167.86,-194.67,-26.32,-578.57,-92.16,-384.21,29.33,32.58,60.94,40.8,,50.64,-232.0,-728.57,-505.26,53.61,-174,-232.0,-187,-667.86,-121,-318.42,204,42.06,,28,,,,38,,,,42,,,4,16,-12,-2.47,83,110.67,85,303.57,75,197.37,66,13.61,1357,129,,143,,390,,,1.72,0.0951,0.1054,1.4033,0.4033,10.54,1361,156,751,65,-91,305,-0.0669,-3.25,5.5714,0.1146,0.0478,1.2888,0.2888,4.78,1488,133,872,77,-56,336,-0.0376,-1.4737,3.5,0.0894,0.0517,1.2917,0.2917,5.17,1541,387,1026,82,-304,308,-0.1973,-0.6268,0.7979,0.2511,0.0532,1.2498,0.2498,5.32
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotech,NASDAQ,USD,12/31/24,9/19/80,45.7,5.44,57049023,48799898,310,62.0,,4.3662,-4.9206,5,71,,6,71,79,0,-63,-56,3,-54,-50,1,-39,-34,,,,,,,,,1183.33,-100.0,,200.0,-1800.0,,-3900.0,,,,,1316.67,,-1666.67,-3400.0,-84,-1400.0,-58,,-37,-1233.33,-43,-4300.0,4,6,-2,-33.33,4,4,0,,0,2,-1,-33.33,0,0,0,0.0,65,1083.33,29,,19,633.33,17,1700.0,220,78,,25,,60,,,13.0,0.3545,0.1136,1.375,0.375,11.36,109,23,101,23,0,65,0.0,,,0.211,0.211,2.4773,1.4773,21.1,64,15,56,5,-9,49,-0.1406,-3.0,5.0,0.2344,0.0781,4.2667,3.2667,7.81,64,14,53,8,-7,38,-0.1094,-7.0,14.0,0.2188,0.125,2.4615,1.4615,12.5
ABEV,Ambev S.A.,Consumer Staples,Brewers,NYSE,BRL,12/31/24,3/5/97,29.2,3.2,15647200256,16282800835,50071,3.166,0.5597,,3.4682,15815,,-8.24,15815,2778,5193,89453,14437,29012,15966,2903,4859,15432,2799,4469,13504,2348,,,2209,,87.81,-82.32,17.57,460.27,16.14,3.46,18.18,14.28,18.14,,17.39,,,32.84,32.43,30.43,28.96,3559,22.5,21350,23.87,18707,117.17,14109,91.43,488,251,236,1.49,444,301,143,0.16,563,224,339,2.12,560,186,373,2.42,4506,28.49,4894,5.47,4693,29.39,4640,30.07,26494,3403,,618,,10283,,,0.2152,0.1284,0.0233,1.6343,0.6343,2.33,162508,28596,10044,3453,-4663,62928,-0.0287,-0.0521,0.3197,0.176,0.0212,1.6319,0.6319,2.12,26561,3216,7321,701,-2515,10513,-0.0947,-0.1575,0.2014,0.1211,0.0264,1.6551,0.6551,2.64,26710,2890,7322,744,-2145,10577,-0.0803,-0.139,0.1873,0.1082,0.0279,1.6556,0.6556,2.79
ABG,"Asbury Automotive Group, Inc.",Consumer Discretionary,Auto Dealerships,NYSE,USD,12/31/24,3/21/02,24.2,187.72,19659200,19659199,3690,0.205,0.2147,7.5,8.5814,17999,492,3.82,17999,492,1023,17189,430,919,14802,602,1034,15433,997,1548,9837,532,,7131,254,,20.45,4.71,2.73,16.13,2.5,-4.09,4.07,56.89,6.46,37.95,5.41,,3.56,5.68,5.35,6.99,10.03,570,3.17,363,2.11,171,1.16,588,3.81,279,,279,1.55,269,,269,1.56,165,,165,1.11,160,,160,1.04,1988,11.05,1888,10.98,1617,10.92,1763,11.42,11618,40,,6103,,7726,,,0.0022,0.0034,0.5253,2.9851,1.9851,52.53,10337,69,3138,5280,5210,6835,0.504,0.3031,0.004,0.0067,0.5108,2.9517,1.9517,51.08,10159,46,3057,5479,5434,6915,0.5349,0.3671,0.0031,0.0045,0.5393,3.1316,2.1316,53.93,8021,235,1910,3689,3454,5118,0.4306,0.2238,0.0152,0.0293,0.4599,2.763,1.763,45.99
ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,NYSE,USD,10/31/24,3/17/80,46.2,40.19,62231400,62231400,2501,0.2818,0.2992,15.9299,30.8765,8874,157,6.08,8746,162,422,8359,81,325,8096,251,534,7806,230,463,6228,126,,5987,0,,10.31,4.63,1.85,3.25,0.97,3.72,3.1,25.34,2.95,4.03,2.02,,0.0,4.83,3.89,6.6,5.93,155,1.77,167,2.0,191,2.36,-30,-0.38,96,,96,1.1,85,,85,1.02,82,,82,1.01,41,,41,0.53,697,7.97,765,9.15,572,7.07,628,8.05,5270,104,,1678,,3484,,,0.0119,0.0197,0.3184,2.9507,1.9507,31.84,5097,65,1789,1452,1388,3315,0.2723,0.166,0.0078,0.0128,0.2849,2.8603,1.8603,28.49,4934,70,1711,1443,1373,3134,0.2783,0.1696,0.0086,0.0142,0.2925,2.7411,1.7411,29.25,4869,73,1561,1403,1330,3152,0.2732,0.1704,0.0094,0.015,0.2881,2.8358,1.8358,28.81
ABNB,"Airbnb, Inc.",Consumer Discretionary,Travel Services,NASDAQ,USD,12/31/24,12/10/20,5.5,132.35,423573275,617212983,56060,4.5797,5.0495,22.3258,21.1707,12241,2511,12.02,12241,2511,2544,11102,2648,2618,9917,4792,2229,8399,1893,2094,5992,-352,,3378,-4584,,22.82,10.26,20.51,11.95,23.85,18.07,48.32,40.17,22.54,77.38,-5.87,,-135.7,20.78,23.58,22.48,24.93,4646,37.95,4518,40.7,3884,39.17,3430,40.84,,705,,,,818,,,83,721,-638,-6.43,24,186,-162,-1.93,3930,32.11,3333,30.02,3788,38.2,2466,29.36,22208,6560,,2067,,14009,,,0.5359,0.2954,0.0931,2.7086,1.7086,9.31,20959,6864,17180,2294,-4570,12547,-0.218,-0.4116,0.6183,0.3275,0.1095,2.4916,1.4916,10.95,20645,6874,16509,2304,-4570,12480,-0.2214,-0.4608,0.6932,0.333,0.1116,2.5285,1.5285,11.16,16038,7378,14861,2341,-5037,10478,-0.3141,-0.5997,0.8784,0.46,0.146,2.8845,1.8845,14.6
ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT Mortgage,NYSE,USD,12/31/24,4/7/04,22.1,5.57,192162000,192161990,1070,2.1357,1.7093,7.2297,4.0377,501,148,-14.93,501,149,,626,265,,721,371,,619,325,,590,339,,,170,,1.99,-19.97,29.74,-13.18,42.33,16.48,51.46,4.92,52.5,,57.46,,,,,,,372,74.25,462,73.8,236,32.73,1100,177.71,702,940,-238,-47.5,804,1167,-363,-57.99,903,1331,-428,-59.36,557,948,-390,-63.0,234,46.71,236,37.7,211,29.26,215,34.73,14495,483,,6395,,11428,,,0.9641,0.0333,0.4412,4.7261,3.7261,44.12,13491,504,,7161,6657,10339,0.4934,10.6342,0.8051,0.0374,0.5308,4.2801,3.2801,53.08,15739,929,,9439,8510,12484,0.5407,11.8031,1.2885,0.059,0.5997,4.8353,3.8353,59.97,17039,534,,10138,9604,13967,0.5636,15.5153,0.8627,0.0313,0.595,5.5465,4.5465,59.5
ABSI,Absci Corporation,Healthcare,Biotech,NASDAQ,USD,12/31/24,7/22/21,4.8,5.1,153021263,127352998,780,390.0,195.0,-6.7826,-7.5728,2,-115,-2.99,3,-115,-103,4,-103,-89,5,-110,-95,5,-104,-91,5,-101,,5,-14,,-7.17,-25.0,-3833.33,-20.0,-2575.0,0.0,-2200.0,0.0,-2080.0,0.0,-2020.0,,-280.0,-3433.33,-2225.0,-1900.0,-1820.0,-94,-3133.33,-72,-1800.0,-65,-1300.0,-97,-1940.0,0,,0,0.0,0,,0,0.0,1,,1,20.0,1,,1,20.0,35,1166.67,36,900.0,37,740.0,40,800.0,216,20,,5,,27,,,6.6667,0.0926,0.0231,1.1429,0.1429,2.31,214,41,134,10,-31,35,-0.1449,-7.75,10.25,0.1916,0.0467,1.1955,0.1955,4.67,217,72,121,16,-57,41,-0.2627,-11.4,14.4,0.3318,0.0737,1.233,0.233,7.37,321,60,187,23,-37,47,-0.1153,-7.4,12.0,0.1869,0.0717,1.1715,0.1715,7.17
